,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1016 - 0.996399998664856,761 - 0.9948999881744384,1838 - 0.9958000183105468,1354 - 0.9941999912261964,580 - 0.9865999817848206,177 - 0.9958999752998352,1030 - 0.9832999706268309,4344 - 0.9958999752998352,1935 - 0.9958000183105468,1016 - 0.996399998664856,1129 - 0.9728000164031982,76 - 0.9861999750137328,3399 - 0.995199978351593,709 - 0.9937000274658204,365 - 0.9448999762535096,1067 - 0.9965000152587892,1505 - 0.9975000023841858,2026 - 0.9843000173568726,3479 - 0.9954000115394592,1935 - 0.9958000183105468
1,1351 - 0.9929999709129332,1807 - 0.9487000107765198,1640 - 0.9936000108718872,1930 - 0.9855999946594238,749 - 0.9688000082969666,114 - 0.9929999709129332,219 - 0.975499987602234,5190 - 0.9929999709129332,1018 - 0.9887999892234802,177 - 0.9958999752998352,746 - 0.9635000228881836,157 - 0.9778000116348268,1360 - 0.9922000169754028,505 - 0.9937000274658204,403 - 0.9103000164031982,709 - 0.9937000274658204,1573 - 0.9878000020980836,1266 - 0.9819999933242798,3399 - 0.995199978351593,3160 - 0.9904000163078308
2,925 - 0.9887999892234802,2789 - 0.944599986076355,221 - 0.982699990272522,219 - 0.975499987602234,1086 - 0.9276999831199646,1176 - 0.9915000200271606,2394 - 0.9258000254631042,4909 - 0.967199981212616,2205 - 0.9792000055313109,2509 - 0.9955999851226808,877 - 0.95660001039505,303 - 0.9455000162124634,1018 - 0.9887999892234802,221 - 0.982699990272522,419 - 0.9065999984741212,843 - 0.9854000210762024,1229 - 0.9697999954223632,2410 - 0.975000023841858,3682 - 0.994599997997284,620 - 0.9832999706268309
3,1161 - 0.965499997138977,2776 - 0.8828999996185303,1229 - 0.9697999954223632,2058 - 0.963800013065338,937 - 0.8931999802589417,792 - 0.9886999726295472,2141 - 0.9225999712944032,51 - 0.9635000228881836,3236 - 0.9553999900817872,1154 - 0.9631999731063844,354 - 0.9236999750137328,72 - 0.9175999760627748,548 - 0.9632999897003174,729 - 0.9821000099182128,94 - 0.8720999956130981,620 - 0.9832999706268309,1851 - 0.9692999720573424,3107 - 0.9314000010490416,2808 - 0.9839000105857848,1207 - 0.97680002450943
4,548 - 0.9632999897003174,1782 - 0.8755000233650208,697 - 0.9642000198364258,2007 - 0.9574999809265136,654 - 0.8690999746322632,76 - 0.9861999750137328,72 - 0.9175999760627748,4411 - 0.949899971485138,2463 - 0.9329000115394592,1939 - 0.9575999975204468,879 - 0.8772000074386597,205 - 0.9167000055313109,691 - 0.9498000144958496,749 - 0.9688000082969666,136 - 0.8622999787330627,2002 - 0.9243000149726868,113 - 0.8924999833106995,72 - 0.9175999760627748,3132 - 0.9810000061988832,1851 - 0.9692999720573424
5,2463 - 0.9329000115394592,2208 - 0.8733000159263611,877 - 0.95660001039505,1280 - 0.9469000101089478,298 - 0.8162999749183655,1106 - 0.9860000014305116,1895 - 0.9150999784469604,1917 - 0.9472000002861024,1553 - 0.9207000136375428,2321 - 0.921500027179718,432 - 0.8737999796867371,403 - 0.9103000164031982,479 - 0.934599995613098,504 - 0.9236000180244446,412 - 0.8605999946594238,1734 - 0.9207999706268309,2305 - 0.882099986076355,1179 - 0.9108999967575072,2291 - 0.9725000262260436,1781 - 0.9207999706268309
6,2175 - 0.9207000136375428,1478 - 0.8518999814987183,691 - 0.9498000144958496,2054 - 0.9355999827384948,144 - 0.8122000098228455,1229 - 0.9697999954223632,1182 - 0.9090999960899352,4734 - 0.9329000115394592,3392 - 0.9133999943733216,1553 - 0.9207000136375428,939 - 0.8716999888420105,419 - 0.9065999984741212,3107 - 0.9314000010490416,192 - 0.9197999835014344,46 - 0.8335000276565552,403 - 0.9103000164031982,429 - 0.8244000077247621,817 - 0.9074000120162964,2674 - 0.9478999972343444,2035 - 0.8974999785423279
7,192 - 0.9197999835014344,1698 - 0.8421000242233276,2803 - 0.9336000084877014,1179 - 0.9108999967575072,269 - 0.808899998664856,503 - 0.9272999763488771,1386 - 0.8758000135421753,2141 - 0.9225999712944032,2453 - 0.9070000052452089,1083 - 0.9136000275611876,412 - 0.8605999946594238,363 - 0.8939999938011169,205 - 0.9167000055313109,501 - 0.8756999969482422,318 - 0.8197000026702881,1766 - 0.8838000297546387,638 - 0.8227999806404114,2453 - 0.9070000052452089,684 - 0.8783000111579895,113 - 0.8924999833106995
8,2044 - 0.8799999952316284,1738 - 0.8284000158309937,2000 - 0.9248999953269958,1045 - 0.908900022506714,549 - 0.7949000000953674,113 - 0.8924999833106995,1570 - 0.8720999956130981,2882 - 0.8834000229835509,2635 - 0.9052000045776368,1954 - 0.8959000110626221,1113 - 0.8396000266075134,246 - 0.8690999746322632,2369 - 0.906499981880188,136 - 0.8622999787330627,477 - 0.8037999868392944,2044 - 0.8799999952316284,1130 - 0.8197000026702881,2951 - 0.9047999978065492,1652 - 0.8769999742507935,1014 - 0.8831999897956848
9,340 - 0.8626999855041504,496 - 0.8230999708175659,192 - 0.9197999835014344,241 - 0.8870999813079834,43 - 0.7817999720573425,693 - 0.8913000226020813,2437 - 0.8410000205039978,2776 - 0.8828999996185303,3269 - 0.904699981212616,797 - 0.88919997215271,496 - 0.8230999708175659,136 - 0.8622999787330627,2094 - 0.8733999729156494,562 - 0.8614000082015991,389 - 0.7882000207901001,684 - 0.8783000111579895,265 - 0.8104000091552734,3062 - 0.8973000049591064,1795 - 0.868399977684021,1859 - 0.8416000008583069
